,Rtn,Date
0,-8.425724206362,2009-01-01
1,-6.62636019444,2009-02-01
2,8.97302321092,2009-03-01
3,19.852230600150005,2009-04-01
4,1.48545736896,2009-05-01
5,0.4199235775199999,2009-06-01
6,8.002386754080003,2009-07-01
7,6.8705986194960005,2009-08-01
8,4.954602713145,2009-09-01
9,-2.893922583907,2009-10-01
10,4.469722791719999,2009-11-01
11,3.99585254595,2009-12-01
12,-4.890755402872999,2010-01-01
13,4.46065937071,2010-02-01
14,5.643579407700001,2010-03-01
15,2.1137244946499996,2010-04-01
16,-7.17583230204,2010-05-01
17,-3.736526771099,2010-06-01
18,5.933925614304,2010-07-01
19,-4.84339559046,2010-08-01
20,9.8218113769,2010-09-01
21,3.6061067604,2010-10-01
22,0.856202373368,2010-11-01
23,7.523072322120001,2010-12-01
24,2.207902416247,2011-01-01
25,2.9653786909279995,2011-02-01
26,1.33393353694,2011-03-01
27,2.48397275025,2011-04-01
28,-0.6650832787400002,2011-05-01
29,-1.2969143693529999,2011-06-01
30,-1.90613917964,2011-07-01
31,-5.27949335931,2011-08-01
32,-8.878247468459998,2011-09-01
33,13.463093911440001,2011-10-01
34,0.04841506167800014,2011-11-01
35,1.4405272600699999,2011-12-01
36,4.5004527984500005,2012-01-01
37,4.684252732009999,2012-02-01
38,1.61633216783,2012-03-01
39,-1.2737879078099998,2012-04-01
40,-5.755292868859999,2012-05-01
41,5.11183819378,2012-06-01
42,0.3199632776699998,2012-07-01
43,0.920710449075,2012-08-01
44,2.0225333430719994,2012-09-01
45,-1.6549741469800003,2012-10-01
46,1.4384392512189998,2012-11-01
47,1.93711434212,2012-12-01
48,6.277702901339999,2013-01-01
49,1.38319505964,2013-02-01
50,4.436997677526,2013-03-01
51,0.2880322049600001,2013-04-01
52,1.7413810566589998,2013-05-01
53,-0.5704577687599999,2013-06-01
54,6.0498060099319995,2013-07-01
55,-2.8175535190000005,2013-08-01
56,3.744635049456,2013-09-01
57,4.8861476464599995,2013-10-01
58,2.751276342956,2013-11-01
59,2.11958893285,2013-12-01
60,-3.0485867454599997,2014-01-01
61,4.99723070765,2014-02-01
62,1.3535466810799999,2014-03-01
63,1.5615166664400002,2014-04-01
64,0.20196234350000025,2014-05-01
65,3.8604549581699996,2014-06-01
66,-4.98929527088,2014-07-01
67,3.6503277779599994,2014-08-01
68,-3.263627026861,2014-09-01
69,1.8787096569300006,2014-10-01
70,2.158604862596,2014-11-01
71,0.75131727985,2014-12-01
72,-4.405607815909999,2015-01-01
73,5.376040774220002,2015-02-01
74,-0.9318618020600001,2015-03-01
75,1.2734040043795,2015-04-01
76,-0.17983926856000002,2015-05-01
77,-2.560141386464,2015-06-01
78,-0.870738491222,2015-07-01
79,-5.93155638914,2015-08-01
80,-4.371286166015,2015-09-01
81,6.738003090651,2015-10-01
82,0.8215562577827002,2015-11-01
83,-3.7357946660350003,2015-12-01
84,-4.21248513168,2016-01-01
85,1.38139036563,2016-02-01
86,8.70975056428,2016-03-01
87,2.252160880786,2016-04-01
88,2.3436909754699995,2016-05-01
89,0.04157482746399979,2016-06-01
90,1.65678354525,2016-07-01
91,0.5457427100910001,2016-08-01
92,0.2618851858300001,2016-09-01
93,-1.0353573007700003,2016-10-01
94,5.963195984248,2016-11-01
95,0.5742298096679997,2016-12-01
96,0.7124875299200003,2017-01-01
97,5.086285004529,2017-02-01
98,-0.7095040713699998,2017-03-01
99,1.7472016894999998,2017-04-01
100,0.75991648806,2017-05-01
101,1.935451652614,2017-06-01
102,2.71668860241,2017-07-01
103,-0.5880965639699999,2017-08-01
104,4.5161670096919995,2017-09-01
105,2.4474699711700003,2017-10-01
106,3.9621762502899998,2017-11-01
107,1.7712944717999999,2017-12-01
108,3.49294995172,2018-01-01
109,-3.48806463868,2018-02-01
110,-0.22849161585600006,2018-03-01
111,-0.14884709560799997,2018-04-01
112,1.7421778037439997,2018-05-01
113,-0.019537823873000043,2018-06-01
114,4.0398210198,2018-07-01
115,-0.05513448261899964,2018-08-01
116,0.474772939996,2018-09-01
117,-6.866003748042,2018-10-01
118,3.33585747618,2018-11-01
119,-8.383586872219999,2018-12-01
120,10.02406897658,2019-01-01
121,3.5437229334500002,2019-02-01
122,-0.4775802767199998,2019-03-01
123,4.464683545539999,2019-04-01
124,-3.6877738438100005,2019-05-01
125,8.156328771150001,2019-06-01
126,0.94338297482,2019-07-01
127,-0.9841001290200001,2019-08-01
128,2.0210179833300006,2019-09-01
